NAME,AIaaS Stack Level,Category,Industry,Sub-Category,Description,URL,Source(s),,,,,,
BensonHill,AutoML,Data Analytics for Business Decisions,Agriculture,Agriculture,"Benson Hill (NYSE: BHIL) is a food technology company. It develops a technology platform that combines data, plant, and food sciences to create food, ingredient, and feed products. It uses machine learning technology to predict which seeds will produce a desired trait. The platform outputs can be deployed in crop plants by using a spectrum of approaches and tools, from breeding to genome editing to transgenics. The company was founded in 2012 and is based in Saint Louis, Missouri.",https://bensonhill.com/,Firstmark 2023,,,,,,
Blue River Technology,AutoML,Data Analytics for Business Decisions,Agriculture,Agriculture,"Blue River Technology creates and delivers advanced technology for better agriculture. The company's approach utilizes computer vision and robotics to build a future that 'makes every plant count' - where the needs of each plant are precisely measured and instantly responded to, significantly reducing chemical and nutrient use. The company brings substantial experience in precision agriculture, robotics, computer vision and machine learning.",https://bluerivertechnology.com/,Firstmark 2023,,,,,,
Bowery Farming,AutoML,Data Analytics for Business Decisions,Agriculture,Agriculture,"Bowery Farming uses robotics, LED lighting, computer vision, sensors, and data analytics to grow leafy greens with no pesticides and very little water indoors.",https://boweryfarming.com/,Firstmark 2023,,,,,,
Iron Ox,AutoML,Data Analytics for Business Decisions,Agriculture,Agriculture,"Iron Ox grows fresh and sustainable produce from robotic greenhouses. Iron Ox grows produce in proprietary greenhouses designed, per the company, to reduce the environmental impact of agriculture using a data-driven approach with robotics and artificial intelligence.",https://ironox.com/,Firstmark 2023,,,,,,
Regrow,AutoML,Data Analytics for Business Decisions,Agriculture,Agriculture,"Regrow operates a digital platform that combines agronomy with soil and carbon modeling. Its platform delivers customized, site-specific, and scalable solutions to businesses across the supply chain. The company was formed after the merger between FluroSat and Dagan. It serves companies operating in the agriculture sector. The company was formerly known as Dagan. It was founded in 2016 and is based in Durham, New Hampshire.",https://www.regrow.ag/,Firstmark 2023,,,,,,
Taranis,AutoML,Data Analytics for Business Decisions,Agriculture,Agriculture,"Taranis, a precision agriculture intelligence platform, helps farmers increase their yields and effectively monitor their fields, make informed decisions and then act on them. The system uses computer vision, data science, and deep learning algorithms to detect early symptoms of weeds, uneven emergence, nutrient deficiencies, disease/insect infestations, water damage, equipment problems and more so that farmers can address issues quickly and understand the impact on yield and cost of production. Taranis was founded in 2014 and is based in Tel Aviv-Yafo, Israel.",https://www.taranis.com/,Firstmark 2023,,,,,,
MarineTraffic,Auto-MLOps,Data Source,Air/Space/Sea,Naval Traffic,"MarineTraffic Live Ships Map. Discover information and vessel positions for 
vessels around the world. Search the MarineTraffic ships database of more 
than 550000 active and decommissioned vessels. Search for popular ships 
globally. Find locations of ports and ships using the near Real Time ships 
map. View vessel details and ship photos.",http://www.marinetraffic.com/,FirstMark,,,,,,
Tellus Labs,AutoML,Data Analytics for Business Decisions,Air/Space/Sea,Agriculture,"Indigo Ag improves farmer profitability, environmental sustainability, and 
consumer health through the use of natural microbiology and digital 
technologies in agriculture.",http://www.telluslabs.com/,FirstMark,,,,,,
Qianxun SI,AutoML,Data Analytics for Business Decisions,Air/Space/Sea,Geospatial,"Qianxun location provides up to dynamic centimeter-level and static millimeter-level positioning capabilities, and is one of the important infrastructures in the IoT era.",http://www.qxwz.com,FirstMark,,,,,,
DroneDeploy,AutoML,Data Analytics for Business Decisions,Air/Space/Sea,Geospatial,"Drone mapping software. Get interior and exterior visual data – any 
altitude, any angle, all in one platform.",https://www.dronedeploy.com/,FirstMark,,,,,,
PlanetLabs,AutoML,Data Analytics for Business Decisions,Air/Space/Sea,Geospatial,"Planet provides global data daily, making changes visible, accessible, and 
actionable.",https://www.planet.com/,FirstMark,,,,,,
Descartes Labs,AutoML,Data Analytics for Business Decisions,Air/Space/Sea,Geospatial,"Enabling a better understanding of the physical world through the scalable 
analysis of geospatial data.",http://www.descarteslabs.com/,FirstMark,,,,,,
ExoLabs,AutoML,Data Analytics for Business Decisions,Air/Space/Sea,Geospatial,"ExoLabs provides customised end-to-end solutions for geo-data analysis and 
management, focusing on information from satellites and airborne imaging 
systems. We develop complex image processing routines and implement them in 
the existing workflows of our customers.",http://www.exolabs.ch,FirstMark,,,,,,
PrecisionHawk,AutoML,Data Analytics for Business Decisions,Air/Space/Sea,Geospatial,"Operations leaders at the world's leading enterprises turn to us for a single, accessible portfolio of geospatial data analytics services and tools.
We accelerate, automate, and amplify geospatial data analysis. Enrich your asset models with real-world information.",http://www.precisionhawk.com,FirstMark,,,,,,
Synspective,AutoML,Data Analytics for Business Decisions,Air/Space/Sea,Geospatial,"Synspective provides one-stop-solutions by satellite gathered geospatial 
data. The core technology was developed by the ImPACT program led by The 
Cabinet Office, Government of Japan, building small SAR satellites and 
constellations, allowing frequent observation of areas of interest (AOI). 
Synspective uses its satellites to produce SAR data which can be provided 
to both government and commercial clients as-is, as well as transform that 
data through AI solutions to produce insights and user-friendly information 
across industries.",http://www.synspective.com,FirstMark,,,,,,
RS Metrics,AutoML,Data Analytics for Business Decisions,Air/Space/Sea,Geospatial,"RS Metrics is the market-leading company for satellite imagery and 
geospatial ESG analytics for businesses and investors.",https://rsmetrics.com/,FirstMark,,,,,,
Spire Global,AutoML,Data Analytics for Business Decisions,Air/Space/Sea,Geospatial,"Spire is a global data and analytics company that leverages our proprietary 
satellite technology to forecast the weather, and track maritime and 
aviation movements.",https://spire.com/,FirstMark,,,,,,
Skycatch,AutoML,Data Analytics for Business Decisions,Air/Space/Sea,Geospatial,"The leading drone mapping software for mining and construction. 3D drone 
photogrammetry, processing and analysis. Used for highwall mine surveying 
and tailings dam monitoring.",https://www.skycatch.com/,FirstMark,,,,,,
Kespry,AutoML,Data Analytics for Business Decisions,Air/Space/Sea,Geospatial,"The complete drone analytics solution to inspect, measure, analyze and report visual data needed to make better decisions",https://www.kespry.com/,FirstMark,,,,,,
Airobotics,ML Powered Tool,Process Automation,Air/Space/Sea,Autonomous Vehicles,"To address the needs of the most complex industrial environments, 
Airobotics has developed an automatic, industrial grade, on-demand and 
multi-purpose platform.",http://www.airobotics.co.il,FirstMark,,,,,,
Augmenta,ML Powered Tool,Process Automation,Architecture,Building design,"* Automated building design
- Design sustainable, code complaint, fully constructible buildings in hours",www.augmenta.ai,ScaleVP,,,,,,
GitHub Copilot,ML Powered Tool,Process Automation,Coding,Coding,Your AI pair programmer,https://github.com/features/copilot,BWGAI,,,,,,
Replit Ghostwriter,ML Powered Tool,Process Automation,Coding,Coding,Accelerate your coding with AI assistance and mobile app,https://replit.com/,BWGAI,,,,,,
Mutable AI,ML Powered Tool,Process Automation,Coding,Coding,Build fast with production quality using AI,https://mutable.ai/,BWGAI,,,,,,
Moderne,ML Powered Tool,Process Automation,Coding,Logistics (Software Refactoring),"Automated software refactoring to keep up-to-date with API changes, fix vulnerabilities, and improve code quality.",https://www.moderne.io/,BWGAI,,,,,,
Deepomatic,ML Powered Tool,Process Automation,Construction,Field operations (computer vision),"Deepomatic edits a no-code software platform to digitize field operations 
using computer vision.",https://www.deepomatic.com/,FirstMark,,,,,,
Canvas,ML Powered Tool,Process Automation,Construction,Robotics,"Canvas is bringing robots out of the factory with machines that work in the real world of construction. CEO Kevin Albert, a Boston Dynamics alumnus, previously worked on BigDog, the four-legged military robot funded by DARPA. That experience helped him identify another massive real-world application: the challenging and changing nature of construction sites, particularly streamlining the laborious process of drywall installation. Using Canvas' robots, construction workers can reduce drywall finishing times from seven to two days, while achieving an extra smooth finish. Its AI-driven technology has begun to be deployed on construction sites in Northern California, and with $83 million raised, Canvas plans to expand into new markets.",,FORBES50,,,,,,
MagicEducator,ML Powered Tool,Process Automation,Education,Lesson planning,"* Lesson planning simplified.
- Brainstorm, find curated content and teach your lesson with an all-in-one platform.",www.magiceducator.com,ScaleVP,,,,,,
Verdigris Technologies,AutoML,Data Analytics for Business Decisions,Energy,Energy Consumption,"Verdigris enables smart buildings through AI and proprietary real-time 
energy monitoring hardware. Verdigris delivers insights on energy usage per 
device when its critical to see it.",https://verdigris.co/,FirstMark,,,,,,
Schneider,AutoML,Data Analytics for Business Decisions,Energy,Large Scale Solutions,"Schneider Electric USA. As a global specialist in energy management and 
automation with operations in more than 100 countries, we offer integrated 
energy solutions across multiple market segments",https://www.schneider-electric.us/,FirstMark,,,,,,
Stem,ML Powered Tool,Process Automation,Energy,Battery storage,"Stem is the world leader in AI-enabled smart energy storage. With our 
intelligent software, Athena, we deliver and operate smart battery storage 
solutions that maximize renewable energy generation and help build a 
cleaner, more resilient grid. Learn more about Stem.",http://www.stem.com,FirstMark,,,,,,
Aurora Solar,ML Powered Tool,Process Automation,Energy,Logistics (Solar Panel Installation),Aurora Solar's platform uses computer vision to help solar companies rapidly design systems tailored to customers' specific needs. Its proprietary measurement and modeling technologies help speed up and lower the cost of solar power installations.,,FORBES50,,,,,,
StockTwits,Auto-MLOps,Data Source,Finance,Financial,"Join Stocktwits to see what is happening right now in the stock and crypto 
markets. With millions of investors, Stocktwits is the voice of global 
finance.",http://stocktwits.com/,FirstMark,,,,,,
Thomson Reuters,Auto-MLOps,Data Source,Finance,Financial,"The intelligence, technology, and human expertise you need to find trusted 
answers.",http://thomsonreuters.com/,FirstMark,,,,,,
Bloomberg,Auto-MLOps,Data Source,Finance,Financial,Make smarter decisions faster with the world’s best financial data. Bloomberg provides top-quality financial data that seamlessly integrates into the tools your firm uses to make critical decisions.,http://www.bloomberg.com/,FirstMark,,,,,,
CBInsights,Auto-MLOps,Data Source,Finance,Financial,"The CB Insights market intelligence platform analyzes data points on 
venture capital, startups, patents, partnerships and tech news. Learn more 
today.",http://www.cbinsights.com/,FirstMark,,,,,,
Dow Jones,Auto-MLOps,Data Source,Finance,Financial,"Dow Jones publishes the world’s most trusted business news and financial 
information in a variety of media. It delivers breaking news, exclusive 
insights, expert commentary and personal finance strategies.",http://www.dowjones.com/,FirstMark,,,,,,
MX Technologies,Auto-MLOps,Data Source,Finance,Financial,"Top financial institutions and fintechs use MX to reliably connect to 
financial accounts and act on financial data with the most trusted and 
secure open finance APIs.",http://www.mx.com,FirstMark,,,,,,
Second Measure,Auto-MLOps,Data Source,Finance,Financial,"Leading provider of transaction data analytics that reliably deliver 
valuable insights into company performance and consumer trends.",http://www.secondmeasure.com,FirstMark,,,,,,
Tink,Auto-MLOps,Data Source,Finance,Financial,"Tink’s open banking platform lets you connect to over 3,400 European banks 
and institutions, and get enriched and categorised financial data – through 
1 API.",http://www.tink.com,FirstMark,,,,,,
Xignite,Auto-MLOps,Data Source,Finance,Financial,Powering the Digital Investor Revolution Designed to Help you Acquire and Grow Digital Investors,http://www.xignite.com/,FirstMark,,,,,,
Yodlee,Auto-MLOps,Data Source,Finance,Financial,"Envestnet | Yodlee has proudly fueled innovation for financial institutions 
and fintech companies since 1999 through data, APIs, and FinApps. Learn 
more about our products and solutions.",http://www.yodlee.com/,FirstMark,,,,,,
World Bank Open Data,Auto-MLOps,Data Source,Finance,Financial,World Bank Open Data from The World Bank: Data,https://data.worldbank.org/,FirstMark,,,,,,
EagleAlpha,Auto-MLOps,Data Source,Finance,Financial,"Eagle Alpha provides solutions to both data vendors and data buyers. 
Established in 2012, Eagle Alpha is the pioneer connecting the universe of 
alternative data. We are the leading alternative data aggregation platform 
with supporting advisory services for vendors and buyers.",https://eaglealpha.com/,FirstMark,,,,,,
Mattermark,Auto-MLOps,Data Source,Finance,Financial,"""Mattermark lets you search for companies & investors to effortlessly create 
actionable lists for leads. Enrich your company data with customer 
intelligence from the industry leader of identity resolution.""",https://mattermark.com/,FirstMark,,,,,,
Plaid,Auto-MLOps,Data Source,Finance,Financial,"Plaid helps all companies build fintech solutions by making it easy, safe 
and reliable for people to connect their financial data to apps and 
services.",https://plaid.com/,FirstMark,,,,,,
Earnest Research,Auto-MLOps,Data Source,Finance,Financial,"Unleash the power of consumer and healthcare data. Get expert insights 
layered with investment-grade data for investors, companies, & consultants.",https://www.earnestresearch.com/,FirstMark,,,,,,
Estimize,Auto-MLOps,Data Source,Finance,Financial,The Most Accurate Earnings Estimates Dataset on the Planet,https://www.estimize.com/,FirstMark,,,,,,
IMF Data,Auto-MLOps,Data Source,Finance,Financial,"The IMF works to achieve sustainable growth and prosperity for all of its 190 member countries. It does so by supporting economic policies that promote financial stability and monetary cooperation, which are essential to increase productivity, job creation, and economic well-being.",https://www.imf.org/en/Data,FirstMark,,,,,,
Kompany,Auto-MLOps,Data Source,Finance,Financial,"KYC KYB AML UBO ✔ Credit Report & Register Report ✔ 100m Companies ✔ 4m 
Officers ✔ Official & Real Time ✔ Instant Online Access",https://www.kompany.com/,FirstMark,,,,,,
Premise Data,Auto-MLOps,Data Source,Finance,Financial,"Where individuals across 135 countries get paid for their insights and 
leaders get Data for Every Decision™",https://www.premise.com/,FirstMark,,,,,,
Quandl,Auto-MLOps,Data Source,Finance,Financial,"At Nasdaq Data Link, we source, evaluate and productize undiscovered data assets, transforming them into quantified, actionable intelligence.",https://www.quandl.com/,FirstMark,,,,,,
Thinknum,Auto-MLOps,Data Source,Finance,Financial,"Join the businesses who have begun to edge out competitors by scouring the 
web for alternative data.",https://www.thinknum.com/,FirstMark,,,,,,
Chainalysis,Auto-MLOps,Data Source,Finance,Financial (Blockchain),"Chainalysis helps government agencies, cryptocurrency businesses, and 
financial institutions engage confidently with cryptocurrency.",http://chainalysis.com,FirstMark,,,,,,
Coin Metrics,Auto-MLOps,Data Source,Finance,Financial (Blockchain),"Crypto intelligence for the future of finance. Coin Metrics organizes the 
world's crypto data and makes it transparent and accessible.",https://coinmetrics.io/,FirstMark,,,,,,
Messari,Auto-MLOps,Data Source,Finance,Financial (Blockchain),"Messari brings transparency to the cryptoeconomy. We want to help investors, regulators, and the public make sense of this revolutionary new asset class, and are building data tools that will drive informed decision making and investment.",https://messari.io/,FirstMark,,,,,,
Kaiko,Auto-MLOps,Data Source,Finance,Financial (Blockchain),"Kaiko provides real-time and historical cryptocurrency trade data, order 
books, and aggregated prices through a cryptocurrency API, downloadable CSV 
files, and a livestream WebSocket. We cover 100+ crypto exchanges and 
35,000+ trading pairs for Bitcoin, Ethereum, and altcoins.",https://www.kaiko.com/,FirstMark,,,,,,
DemystData,Auto-MLOps,Data Source,Finance,People/Entities,"External data, done right. Tier-1 banks and insurers trust Demyst to 
centralize and manage all their external data needs.",http://www.demyst.com,FirstMark,,,,,,
Predata,Auto-MLOps,Data Source,Finance,Web Audiences,Predata is the only web-based platform that quantifies shifts in online attention – how audiences research and consume information – to provide a more complete picture of the geopolitical landscape.,https://www.predata.com/,FirstMark,,,,,,
Anaplan,AutoML,Data Analytics for Business Decisions,Finance,Large Scale Solutions,"Empower your decision-making by connecting data and enhancing collaboration, so you can shape your future with confidence.",https://www.anaplan.com/,FirstMark,,,,,,
Kayrros,AutoML,Data Analytics for Business Decisions,Finance,Large Scale Solutions,"Kayrros is the leading advanced data analytics company that helps traders, 
investors, operators and governments make better decisions.",http://www.kayrros.com,FirstMark,,,,,,
Ayasdi,AutoML,Data Analytics for Security,Finance,Risk Detection (Finance),"The bare minimum compliance keeps regulators at bay, not financial 
criminals. Discover explainable & transparent AI solutions for financial 
crime detection",http://www.ayasdi.com/,FirstMark,,,,,,
Feedzai,AutoML,Data Analytics for Security,Finance,Risk Detection (Finance),Feedzai is the market leader in fighting financial crime with AI. We’re coding the future of commerce with today’s most advanced risk management platform powered by big data and machine learning.,http://feedzai.com/,FirstMark,,,,,,
Guardian Analytics,AutoML,Data Analytics for Security,Finance,Risk Detection (Finance),"The industry leader in financial crimes investigation offering Digital 
Banking Fraud Protection, Real-Time Payment Fraud Detection, AML Solutions 
and Compliance for banks and credit unions.",http://www.guardiananalytics.com/,FirstMark,,,,,,
MetaMap,AutoML,Data Analytics for Security,Finance,Risk Detection (Finance),"Built to support high-trust interactions in financial settings, MetaMap is an identity verification platform used for identity and credential verification, fraud prevention and financial qualification. Workflows are encrypted, customizable by purpose and compliant with local regulations worldwide. MetaMap's global client base includes Internet-only banks and crypto exchanges as well as P2P marketplaces for hiring, renting and asset-sharing. Mercado Bitcoin, Kuda Bank, Binance, EBANX and Clara are among more than 400 customers for the startup, which was also named to Forbes' Next Billion-Dollar Startups list in 2021 under its previous name, Mati.",,FORBES50,,,,,,
Planful,AutoML,Data Analytics for Business Decisions,Finance,Performance Management,"Planful provides cloud-based enterprise performance management SaaS. The software helps with budgeting, planning, forecasting, modeling, analytics, and consolidation of financial details in addition to serving as an analytics platform for its business functions like human resources, sales, and marketing. The company was founded in 2000 and is based in Redwood City, California.",https://planful.com/,Firstmark 2023,,,,,,
Zuora,AutoML,Data Analytics for Business Decisions,Finance,Pay-as-you-go product development/deployment models,"Zuora ZUO (NYSE) offers a subscription relationship management platform to help businesses in any industry to launch or shift products for subscription, implement new pay-as-you-go pricing and packaging models, gain new insights into subscriber behavior, open new revenue streams, and disrupt market segments to gain a competitive advantage. The company was founded in 2008 and is based in San Mateo, California.",https://www.zuora.com/,Firstmark 2023,,,,,,
Compliance AI,AutoML,Data Analytics for Security,Finance,Regtech & Compliance,"Compliance.ai develops a Regulatory Change Management platform designed to mitigate risk, reduce costs, and increase confidence in compliance status for the banking, financial services, and insurance industries. Compliance.ai transforms the capabilities of compliance teams by delivering a simple-to-use, automated approach to monitoring and reacting to regulatory updates, identifying obligations, and ensuring required changes are completed in a timely manner. Through its flexible, intuitive platform, Compliance.ai helps compliance teams increase accuracy, improve productivity, and reduce compliance gaps. The company was formerly known as Jurispect. It was founded in 2016 and is based in San Francisco, California.",https://www.compliance.ai/,Firstmark 2023,,,,,,
Comply Advantage,AutoML,Data Analytics for Security,Finance,Regtech & Compliance,"ComplyAdvantage helps firms make intelligent choices when complying with regulations relating to sanctions, money laundering (AML), terrorist financing (CFT), bribery, and corruption. Its database of individuals, organizations, and associated entities provides real-time insight into financial crime risks. ComplyAdvantage uses artificial intelligence, machine learning, and big data analytics combined with a tailored risk-based approach to help firms not only to manage their compliance and risk obligations, but also to prevent the occurrence of financial crime.",https://complyadvantage.com/,Firstmark 2023,,,,,,
Hummingbird,AutoML,Data Analytics for Security,Finance,Regtech & Compliance,Hummingbird offers a platform for orchestrating and automating financial compliance programs.,https://hummingbird.co/,Firstmark 2023,,,,,,
SequoiaDB,Infrastructure,Infrastructure,Finance,"Database (Lakehouse, Financial)",A Financial Distributed Database based on Lakehouse Technology,http://www.sequoiadb.com/,FirstMark,,,,,,
Cube,Infrastructure,Infrastructure,Finance,Data Platform,Cube Dev is a developer framework for building analytics applications. It provides a complete backend API platform over the raw data while giving full customization and flexibility on the frontend.,https://www.cubesoftware.com/,Firstmark 2023,,,,,,
Progress,ML Powered Tool,Process Automation,Finance,"Conversational AI (Finance, Healthcare, B2E)","Progress products speed business app development, automate processes to 
configure, deploy & scale apps, and make critical data more accessible and 
secure.",progress.com,CAI,,,,,,
Kasisto,ML Powered Tool,Process Automation,Finance,Conversational AI (Finance),"Kasisto leads the financial industry with Conversational AI banking 
technology & intelligent virtual assistants built to transform customer 
engagement.",http://kasisto.com/,"FirstMark, CAI",,,,,,
Posh,ML Powered Tool,Process Automation,Finance,"Customer Experience (Conversational AI, Finance)","Customers want 24/7 service. Our friendly AI assistants can help. With AI 
on your team, we make banking better for all.",posh.tech,CAI,,,,,,
Amenity Analytics,ML Powered Tool,Process Automation,Finance,"Document Processing (Text, Sentiment Analysis, Finance)","Amenity offers NLP text analytics/mining and sentiment analysis tools for 
finance across a wide array of sizes and industries including hedge funds 
and Fortune 100 companies. Request beta access now.",https://www.amenityanalytics.com/,"FirstMark, CAI",,,,,,
Accern,ML Powered Tool,Process Automation,Finance,"Large Scale Solutions (Document Processing, Finance)","Extract fast, accurate, & actionable insights from unstructured text data 
with No-Code NLP AI to make better decisions, reduce risk, & spot 
opportunities for financial services, insurance, commercial banks, ESG 
investing, & crypto.",https://accern.com/,FirstMark,,,,,,
Digits,ML Powered Tool,Process Automation,Finance,Logistics (Accounting),AI-powered accounting tools that delight your clients and save you time.,http://www.digits.com,FirstMark,,,,,,
HighRadius,ML Powered Tool,Process Automation,Finance,Logistics (Accounting),"HighRadius offers cloud-based Autonomous Software for the Office of the CFO. More than 700 of the world’s leading companies have transformed their order to cash, treasury and record to report processes with HighRadius",http://www.highradius.com,FirstMark,,,,,,
MineralTree,ML Powered Tool,Process Automation,Finance,Logistics (Accounting),"MineralTree delivers streamlined AP automation, and we have many more innovations ahead.",http://www.mineraltree.com,FirstMark,,,,,,
Pilot,ML Powered Tool,Process Automation,Finance,Logistics (Accounting),"Meet your dedicated finance team. Pilot handles your bookkeeping, taxes, 
forecasting and more. See why thousands of businesses trust Pilot.",https://pilot.com/,FirstMark,,,,,,
AppZen,ML Powered Tool,Process Automation,Finance,Logistics (Accounting),"Overhaul the way your finance teams work, automate spend approvals and 
reduce spend, comply with policy, and streamline processes. AppZen AI...",https://www.appzen.com,FirstMark,,,,,,
Botkeeper,ML Powered Tool,Process Automation,Finance,Logistics (Accounting),See how 250+ Botkeeper firms are saving time & increasing profit with the only badass bookkeeping solution designed specifically for badass accounting pros.,https://www.botkeeper.com/,FirstMark,,,,,,
Pigment,ML Powered Tool,Process Automation,Finance,Logistics (Accounting),"The all-in-one business planning platform for finance and revenue teams to 
plan & forecast your business in real-time, model scenarios and make better 
decisions",https://www.gopigment.com/,FirstMark,,,,,,
Host Analytics,ML Powered Tool,Process Automation,Finance,Logistics (Accounting),"Planful offers financial planning & analysis software that includes a 
complete platform for financial planning, consolidation, and reporting & 
analytics.",https://www.hostanalytics.com/,FirstMark,,,,,,
Vic.ai,ML Powered Tool,Process Automation,Finance,Logistics (Accounting),"AP Automation and Intelligence for accounting and finance and accounting. 
Reinvent your AP operations with the leading AI trusted by thousands of 
customers.",https://www.vic.ai/,FirstMark,,,,,,
Tidemark,ML Powered Tool,Process Automation,Finance,Logistics (Workflow),"Tidemark is a flexible financial planning software for workflow management 
that allows you to save time and improve collaboration across the 
organization.",http://tidemark.com/,FirstMark,,,,,,
Adaptive Insights,ML Powered Tool,Process Automation,Finance,Logistics (Workflow),"Drive enterprise-wide business planning with Workday Adaptive Planning. The 
planning platform enables organizations to plan smarter, report faster, and 
analyze better transforming business performance in ways you previously 
could only imagine. Learn more.",http://www.adaptiveinsights.com/,FirstMark,,,,,,
Krea,ML Powered Tool,Data Analytics for Individual Decisions,Finance,Lending selection,Krea has developed a service that collects financing offers from most lenders in Sweden and makes it easy to choose the right one.,https://www.krea.ai/,Firstmark 2023,,,,,,
Vena,ML Powered Tool,Process Automation,Finance,Logistics (Workflow),"Vena Solutions turns Excel into an enterprise-class platform to automate financial and other spreadsheet-driven processes across organizations. Customers use Vena for corporate performance management (CPM) applications including budgeting, financial close management, reporting, and automating other spreadsheet driven processes across and beyond finance.",https://www.venasolutions.com/,Firstmark 2023,,,,,,
Numerai,Auto-MLOps,Data Source,Finance - Investing,Financial,"Join the hardest data science tournament on the planet. Build the world's 
open hedge fund by modeling the stock market. Use the power of machine 
learning and AI (Artificial Intelligence) to earn cryptocurrency on your 
NMR staked. Over $200,000 paid out every month. Get started quickly with 
our example models using XGBoost and linear regression. Kaggle and 
Quantopian alternative.",http://www.numer.ai,FirstMark,,,,,,
eVestment,Auto-MLOps,Data Source,Finance - Investing,Financial,"provides institutional investment data, analytics and market intelligence covering public and private markets",https://www.evestment.com/,FirstMark,,,,,,
Kensho,AutoML,AutoML Platform,Finance - Investing,Large Scale Solutions,"Kensho develops cutting-edge products and technologies that transform 
businesses. We are the AI Innovation Hub for S&P Global.",https://kensho.com/,FirstMark,,,,,,
Addepar,ML Powered Tool,Data Analytics for Individual Decisions,Finance - Investing,Personal Finance,"Addepar is a wealth management platform specializing in data aggregation, 
analytics and reporting. Provide clients with a complete, meaningful 
financial picture and offer better advice with consolidated and unified 
data. Learn more about Addepar's tailored, tech-forward wealth management 
software.",https://addepar.com,FirstMark,,,,,,
Bright Money,ML Powered Tool,Data Analytics for Individual Decisions,Finance - Investing,Personal Finance,Bright makes smart payments for you. Our MoneyScience™ system studies your finances and adapts to your shifting needs—automatically.,https://www.brightmoney.co/,FirstMark,,,,,,
Eigen Technologies,ML Powered Tool,Process Automation,Finance - Investing,Document Processing,"Eigen Technologies have developed the Eigen intelligent document processing platform to enable organizations to extract and organize the data they need to make faster, smarter decisions.",http://www.eigentech.com,FirstMark,,,,,,
Algoriz,ML Powered Tool,Process Automation,Finance - Investing,Quality Assurance (Financial Strategies),"Algoriz is an AI that allows you to quickly build, backtest and automate trading strategies in Equities and Cryptocurrencies",https://algoriz.com/,FirstMark,,,,,,
